#Distance         all[Pr]     all[std]
      0.9550      87.2585       0.7029
      0.9650     112.7415       0.7029
      1.0050     763.7350       2.0427
      1.0150    1236.2650       2.0427
      1.0750     185.3065       1.0785
      1.0850    2854.4210       3.9207
      1.0950    4060.2725       3.7695
      1.1050       0.0005       0.0022
      1.1250       0.0055       0.0074
      1.1350       0.0515       0.0227
      1.1450       0.2420       0.0492
      1.1550       1.0225       0.1009
      1.1650       3.5080       0.1867
      1.1750      10.3010       0.3195
      1.1850      25.2630       0.4960
      1.1950      52.9380       0.7080
      1.2050      93.3740       0.9206
      1.2150     139.9015       1.1020
      1.2250     178.5450       1.2328
      1.2350     194.7400       1.2788
      1.2450     182.3380       1.2490
      1.2550     149.5480       1.1484
      1.2650     113.7860       1.0216
      1.2750      88.5825       0.9111
      1.2850      82.0295       0.8735
      1.2950      94.5515       0.9284
      1.3050     117.6905       1.0282
      1.3150     145.7340       1.1349
      1.3250     166.7045       1.2078
      1.3350     175.2340       1.2295
      1.3450     166.6415       1.2053
      1.3550     146.2280       1.1398
      1.3650     125.0655       1.0695
      1.3750     112.8070       1.0270
      1.3850     115.1200       1.0270
      1.3950     125.9390       1.0547
      1.4050     137.7635       1.0933
      1.4150     144.4450       1.1284
      1.4250     148.5180       1.1602
      1.4350     154.7845       1.1956
      1.4450     170.5770       1.2554
      1.4550     195.9220       1.3344
      1.4650     229.7045       1.4377
      1.4750     266.0715       1.5500
      1.4850     307.3820       1.6731
      1.4950     355.1905       1.8053
      1.5050     410.4680       1.9442
      1.5150     465.4610       2.0508
      1.5250     506.8550       2.1267
      1.5350     519.7160       2.1442
      1.5450     492.9610       2.0858
      1.5550     429.6005       1.9625
      1.5650     343.3265       1.7646
      1.5750     254.8420       1.5440
      1.5850     175.0795       1.2930
      1.5950     116.3685       1.0570
      1.6050      79.1085       0.8733
      1.6150      59.2390       0.7533
      1.6250      51.1525       0.6990
      1.6350      50.9795       0.6962
      1.6450      55.1835       0.7279
      1.6550      62.7610       0.7753
      1.6650      72.9330       0.8350
      1.6750      86.5510       0.9121
      1.6850     103.7055       0.9974
      1.6950     124.8215       1.0919
      1.7050     150.0660       1.1950
      1.7150     178.0585       1.2964
      1.7250     206.7765       1.3915
      1.7350     236.4385       1.4863
      1.7450     260.8825       1.5587
      1.7550     280.2700       1.6099
      1.7650     290.0885       1.6398
      1.7750     290.9700       1.6404
      1.7850     283.1260       1.6209
      1.7950     264.2700       1.5704
      1.8050     239.3375       1.4939
      1.8150     209.1125       1.3996
      1.8250     177.2350       1.2955
      1.8350     144.9255       1.1714
      1.8450     116.9530       1.0584
      1.8550      92.5470       0.9461
      1.8650      73.2615       0.8436
      1.8750      59.9590       0.7677
      1.8850      51.9295       0.7148
      1.8950      49.4285       0.6990
      1.9050      52.1275       0.7169
      1.9150      58.8275       0.7576
      1.9250      70.2690       0.8306
      1.9350      85.4935       0.9149
      1.9450     104.2095       1.0088
      1.9550     126.7930       1.1052
      1.9650     152.7590       1.2130
      1.9750     180.7780       1.3118
      1.9850     210.8610       1.4196
      1.9950     241.9650       1.5121
      2.0050     275.2875       1.6230
      2.0150     308.7305       1.7162
      2.0250     345.2685       1.8173
      2.0350     386.0940       1.9275
      2.0450     433.4215       2.0516
      2.0550     488.8960       2.1790
      2.0650     551.8535       2.3110
      2.0750     625.3215       2.4639
      2.0850     703.9270       2.5970
      2.0950     788.0495       2.7472
      2.1050     870.9140       2.8792
      2.1150     945.6365       2.9922
      2.1250    1010.7280       3.0869
      2.1350    1056.0645       3.1472
      2.1450    1082.5350       3.1920
      2.1550    1082.9490       3.1824
      2.1650    1057.8095       3.1577
      2.1750    1014.0855       3.0843
      2.1850     950.5945       2.9896
      2.1950     876.0970       2.8801
      2.2050     795.4685       2.7496
      2.2150     715.5510       2.6113
      2.2250     638.8790       2.4759
      2.2350     569.8035       2.3482
      2.2450     509.4225       2.2185
      2.2550     457.6010       2.1015
      2.2650     415.7750       2.0020
      2.2750     383.6535       1.9320
      2.2850     360.2860       1.8731
      2.2950     347.1620       1.8403
      2.3050     344.1580       1.8336
      2.3150     351.2460       1.8513
      2.3250     367.5140       1.8974
      2.3350     392.3125       1.9610
      2.3450     426.1160       2.0374
      2.3550     467.5880       2.1342
      2.3650     513.9715       2.2407
      2.3750     566.3630       2.3403
      2.3850     620.7495       2.4518
      2.3950     675.5625       2.5560
      2.4050     728.6790       2.6514
      2.4150     779.5095       2.7506
      2.4250     824.0710       2.8119
      2.4350     862.9410       2.8830
      2.4450     893.7635       2.9394
      2.4550     917.0405       2.9655
      2.4650     934.9040       2.9996
      2.4750     947.7290       3.0164
      2.4850     954.0615       3.0232
      2.4950     955.7390       3.0294
      2.5050     952.1210       3.0217
      2.5150     943.1875       2.9961
      2.5250     929.6660       2.9981
      2.5350     911.6290       2.9635
      2.5450     889.5890       2.9272
      2.5550     865.7655       2.8857
      2.5650     841.6720       2.8398
      2.5750     815.8785       2.8051
      2.5850     791.6185       2.7803
      2.5950     769.3530       2.7325
      2.6050     746.3660       2.6900
      2.6150     727.8365       2.6565
      2.6250     711.6125       2.6304
      2.6350     696.5840       2.6058
      2.6450     685.6550       2.5961
      2.6550     675.2525       2.5677
      2.6650     668.2185       2.5628
      2.6750     664.7155       2.5499
      2.6850     661.2940       2.5494
      2.6950     661.2130       2.5486
      2.7050     661.7980       2.5569
      2.7150     664.5735       2.5552
      2.7250     670.0610       2.5700
      2.7350     677.1950       2.5845
      2.7450     682.3185       2.5916
      2.7550     689.1840       2.6162
      2.7650     696.6990       2.6255
      2.7750     703.0380       2.6274
      2.7850     708.3490       2.6337
      2.7950     712.3080       2.6380
      2.8050     712.5050       2.6513
      2.8150     712.4420       2.6532
      2.8250     708.1355       2.6441
      2.8350     703.9310       2.6346
      2.8450     697.6285       2.6268
      2.8550     688.7160       2.6110
      2.8650     679.9725       2.5998
      2.8750     672.5330       2.5941
      2.8850     664.9095       2.5720
      2.8950     658.6120       2.5629
      2.9050     652.7110       2.5491
      2.9150     650.6960       2.5518
      2.9250     649.0975       2.5400
      2.9350     649.7760       2.5487
      2.9450     652.9395       2.5596
      2.9550     656.3780       2.5642
      2.9650     661.3980       2.5650
      2.9750     669.2710       2.5876
      2.9850     677.5860       2.5973
      2.9950     684.0880       2.6129
      3.0050     692.6235       2.6288
      3.0150     696.5500       2.6261
      3.0250     701.5330       2.6358
      3.0350     704.3860       2.6343
      3.0450     706.6365       2.6518
      3.0550     705.3555       2.6492
      3.0650     703.3520       2.6475
      3.0750     701.4610       2.6461
      3.0850     698.3165       2.6380
      3.0950     694.7055       2.6324
      3.1050     690.3450       2.6244
      3.1150     684.1195       2.6098
      3.1250     677.1495       2.6003
      3.1350     670.7980       2.5867
      3.1450     660.8280       2.5732
      3.1550     651.9405       2.5685
      3.1650     643.1190       2.5420
      3.1750     635.7700       2.5312
      3.1850     629.5735       2.5345
      3.1950     624.7630       2.5221
      3.2050     622.5645       2.5182
      3.2150     620.9230       2.5245
      3.2250     620.5975       2.5129
      3.2350     622.2355       2.5243
      3.2450     625.5160       2.5271
      3.2550     627.0625       2.5360
      3.2650     629.3460       2.5453
      3.2750     630.5625       2.5378
      3.2850     633.1755       2.5531
      3.2950     634.5955       2.5500
      3.3050     637.1665       2.5552
      3.3150     639.5685       2.5656
      3.3250     643.9855       2.5759
      3.3350     648.5780       2.5920
      3.3450     655.3510       2.6022
      3.3550     663.9990       2.6222
      3.3650     673.1155       2.6319
      3.3750     683.3185       2.6520
      3.3850     691.8700       2.6674
      3.3950     699.9200       2.6715
      3.4050     702.1570       2.6843
      3.4150     701.4040       2.6706
      3.4250     695.1105       2.6694
